DOY,frac,R2,DOY,discharge
152,0.402961929,1.08E-01,152,17471.56566
169,0.298642009,9.52E-02,153,17371.51515
170,0.288001731,9.52E-02,154,17231.0101
174,0.290954896,8.43E-02,155,17113.33333
175,0.291830941,1.02E-01,156,17070.35354
176,0.2863868,1.13E-01,157,17010.45455
177,0.283986795,1.18E-01,158,17104.59596
178,0.297012296,1.28E-01,159,17340.80808
179,0.314966651,1.41E-01,160,17445.40404
180,0.325396758,1.52E-01,161,17129.89899
181,0.328639075,1.65E-01,162,16380.55556
182,0.323449284,1.67E-01,163,15630.75758
183,0.312915723,1.37E-01,164,15033.38384
184,0.295533935,1.04E-01,165,14467.92929
185,0.276159896,9.66E-02,166,14025.65657
186,0.258728664,1.07E-01,167,13664.69697
187,0.242159715,1.17E-01,168,13273.88889
188,0.221844123,1.08E-01,169,12871.26263
189,0.202519947,9.76E-02,170,12574.84848
190,0.192576821,9.80E-02,171,12449.19192
191,0.184923315,9.97E-02,172,12314.14141
192,0.173915354,9.48E-02,173,12050.45455
193,0.161977418,8.85E-02,174,11709.34343
212,0.123104676,1.05E-01,175,11340.25253
213,0.127220042,1.17E-01,176,11104.69697
214,0.118028133,1.05E-01,177,10982.87879
215,0.108272516,9.19E-02,178,10816.81818
216,0.107898327,9.30E-02,179,10626.71717
217,0.107959557,9.96E-02,180,10484.14141
218,0.107022396,1.02E-01,181,10245.35354
219,0.11336272,1.13E-01,182,9931.313131
220,0.122497342,1.28E-01,183,9680.808081
221,0.122867837,1.35E-01,184,9423.939394
222,0.117456559,1.30E-01,185,9141.767677
223,0.11768758,1.36E-01,186,8837.777778
224,0.116685717,1.40E-01,187,8544.292929
225,0.111780037,1.30E-01,188,8307.373737
226,0.107132625,1.22E-01,189,8113.888889
227,0.099137641,1.09E-01,190,7957.020202
228,0.092846389,9.86E-02,191,7798.232323
229,0.088540181,8.90E-02,192,7609.69697
230,0.098379527,1.08E-01,193,7434.848485
231,0.11206661,1.34E-01,194,7285.909091
232,0.123609128,1.51E-01,195,7158.080808
233,0.146760251,2.03E-01,196,7045.959596
234,0.153765478,2.32E-01,197,6975.151515
235,0.144810798,2.10E-01,198,6967.828283
236,0.136690097,1.81E-01,199,6937.929293
237,0.130829521,1.61E-01,200,6832.070707
238,0.135076133,1.48E-01,201,6717.272727
239,0.135391372,1.43E-01,202,6611.161616
240,0.126232519,1.36E-01,203,6525.505051
241,0.116824905,1.07E-01,204,6467.474747
244,0.11081711,9.14E-02,205,6407.979798
245,0.113252944,9.21E-02,206,6339.444444
246,0.113960034,8.77E-02,207,6269.141414
250,0.144161496,8.31E-02,208,6221.717172
251,0.156771572,9.79E-02,209,6202.676768
252,0.166759199,1.10E-01,210,6180.10101
253,0.172933725,1.14E-01,211,6121.616162
254,0.183152182,1.17E-01,212,6061.767677
255,0.191153047,1.14E-01,213,6033.787879
256,0.190170065,1.03E-01,214,6008.737374
257,0.184365877,9.13E-02,215,5986.616162
258,0.179141322,8.65E-02,216,5963.939394
259,0.17996526,9.11E-02,217,5931.666667
260,0.191555992,9.91E-02,218,5910.555556
261,0.20350891,1.09E-01,219,5885.40404
262,0.201139605,1.17E-01,220,5856.515152
263,0.18390753,1.08E-01,221,5835.454545
264,0.178082384,1.05E-01,222,5813.181818
265,0.187796985,1.19E-01,223,5788.939394
266,0.189228703,1.23E-01,224,5773.484848
267,0.17726709,1.08E-01,225,5786.363636
290,0.198927312,9.19E-02,226,5811.363636
291,0.186769145,8.24E-02,227,5843.383838
,,,228,5892.676768
,,,229,5945.808081
,,,230,5971.060606
,,,231,5986.060606
,,,232,6004.393939
,,,233,5990.10101
,,,234,5982.171717
,,,235,6019.646465
,,,236,6073.080808
,,,237,6095.959596
,,,238,6121.363636
,,,239,6137.373737
,,,240,6104.848485
,,,241,6088.333333
,,,242,6106.868687
,,,243,6140
,,,244,6231.161616
,,,245,6378.333333
,,,246,6499.949495
,,,247,6588.585859
,,,248,6643.585859
,,,249,6707.020202
,,,250,6778.434343
,,,251,6859.89899
,,,252,6968.888889
,,,253,7063.838384
,,,254,7130.40404
,,,255,7186.313131
,,,256,7222.272727
,,,257,7227.424242
,,,258,7308.383838
,,,259,7467.070707
,,,260,7611.060606
,,,261,7682.121212
,,,262,7720
,,,263,7750.606061
,,,264,7757.323232
,,,265,7746.010101
,,,266,7749.191919
,,,267,7786.919192
,,,268,7847.676768
,,,269,7979.79798
,,,270,8122.323232
,,,271,8195.252525
,,,272,8392.979798
,,,273,8613.434343
,,,274,8663.535354
,,,275,8755.505051
,,,276,9006.464646
,,,277,9282.070707
,,,278,9447.171717
,,,279,9513.737374
,,,280,9652.020202
,,,281,9850.707071
,,,282,10107.22222
,,,283,10324.19192
,,,284,10427.17172
,,,285,10436.61616
,,,286,10286.46465
,,,287,10158.58586
,,,288,10202.67677
,,,289,10446.56566
,,,290,10747.12121
,,,291,10994.69697
,,,292,11299.09091
,,,293,11699.64646
,,,294,12006.91919
,,,295,12375.9596
,,,296,12842.67677
,,,297,13241.41414
,,,298,13350.55556
,,,299,13161.56566
,,,300,13179.24242
,,,301,13614.09091
,,,302,14156.26263
,,,303,14784.39394
